CPF,Renda mensal,Taxa de inadimplência (bureau),Gasto médio por visita
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
